l1neo	random	mrc
2141667	12205	12295
2146254	12212	12295
2150171	12271	12324
2152080	12278	12390
2153791	12284	12394
2159317	12319	12395
2162103	12322	12435
2175552	12325	12436
2178462	12327	12453
2181066	12333	12458
2187226	12340	12461
2189778	12368	12482
2191613	12371	12484
2196456	12392	12492
2196582	12396	12492
2199228	12442	12505
2215162	12450	12519
2215730	12465	12525
2219512	12474	12531
2237360	12484	12554
2241853	12487	12566
2269835	12505	12566
2274233	12514	12580
2281662	12534	12602
2284431	12538	12609
2295589	12545	12615
2295594	12567	12619
2296448	12583	12634
2308606	12599	12636
2309827	12617	12642
2312745	12617	12683
2315772	12621	12690
2322742	12633	12693
2325791	12640	12696
2331075	12689	12704
2333410	12706	12709
2335999	12707	12709
2339984	12713	12734
2341792	12732	12739
2342906	12741	12744
2351980	12753	12759
2354604	12761	12759
2355821	12761	12824
2373180	12790	12828
2375013	12791	12840
2387505	12799	12846
2391149	12804	12871
2393666	12822	12879
2396633	12825	12879
2396976	12826	12892
2400981	12848	12896
2402501	12868	12908
2405109	12877	12914
2407595	12877	12914
2412959	12879	12927
2418352	12886	12986
2427364	12890	12993
2435498	12935	13009
2439338	12942	13012
2439582	12947	13013
2449483	12965	13022
2450398	12967	13028
2459146	12983	13052
2463406	12999	13052
2469426	13000	13090
2479351	13002	13096
2481918	13011	13096
2486141	13018	13119
2486603	13030	13139
2496250	13037	13141
2506194	13039	13152
2511319	13040	13154
2512913	13050	13156
2523947	13077	13173
2524948	13083	13185
2528683	13086	13215
2538782	13095	13220
2543408	13102	13223
2543639	13106	13231
2557468	13108	13243
2565931	13108	13243
2566772	13132	13254
2569441	13146	13258
2577472	13165	13269
2584674	13184	13307
2593364	13184	13311
2596459	13189	13314
2603064	13208	13318
2603558	13217	13321
2606741	13221	13341
2607135	13225	13341
2616051	13228	13363
2631060	13234	13370
2640657	13244	13375
2642326	13249	13398
2645818	13279	13398
2648655	13285	13398
2653644	13302	13403
2664182	13318	13409
2668438	13326	13409
2669538	13339	13413
2671012	13343	13419
2671343	13354	13424
2671884	13357	13430
2682843	13378	13475
2683954	13386	13487
2686872	13388	13490
2689640	13408	13499
2689655	13427	13508
2697494	13429	13526
2703163	13442	13564
2706720	13451	13573
2708719	13455	13585
2710387	13462	13589
2714380	13487	13604
2718311	13493	13629
2721496	13512	13635
2724617	13520	13635
2730117	13523	13635
2735316	13535	13641
2735462	13541	13662
2756029	13556	13665
2763324	13575	13666
2764331	13597	13677
2765727	13604	13680
2767638	13613	13684
2775311	13626	13696
2779231	13626	13710
2782305	13655	13722
2794306	13655	13728
2798338	13680	13729
2814895	13686	13735
2827694	13698	13737
2830620	13720	13737
2835668	13732	13754
2836394	13737	13756
2851117	13738	13782
2856324	13747	13801
2859730	13749	13820
2860744	13751	13836
2863266	13760	13852
2869723	13764	13871
2870896	13777	13875
2871317	13778	13882
2871431	13790	13897
2874168	13793	13917
2881445	13798	13920
2882466	13850	13954
2897976	13852	13960
2908187	13868	13968
2911939	13912	13971
2921997	13914	13973
2941832	13934	13976
2946800	13937	13987
2957813	13958	13987
2965305	13966	13992
2970918	13972	13998
2994712	13973	14005
2995919	14019	14010
2996958	14021	14014
2999560	14022	14015
3001871	14023	14017
3020858	14036	14018
3020966	14054	14029
3023395	14064	14047
3023556	14128	14056
3031031	14164	14059
3037818	14168	14060
3053111	14172	14085
3057970	14184	14136
3066352	14184	14148
3074188	14194	14151
3083548	14194	14151
3085342	14221	14152
3100387	14227	14155
3109445	14233	14190
3120240	14235	14225
3127074	14246	14259
3130582	14251	14261
3135936	14258	14261
3142583	14277	14265
3144370	14283	14265
3144569	14286	14265
3154298	14290	14267
3157510	14300	14270
3166107	14303	14277
3169123	14308	14345
3172073	14310	14351
3175117	14319	14388
3175815	14321	14433
3177905	14334	14442
3190867	14337	14455
3202480	14359	14468
3214979	14379	14472
3219681	14387	14477
3221192	14410	14492
3225142	14434	14492
3225306	14456	14493
3262948	14458	14525
3265110	14471	14543
3266782	14497	14548
3272752	14506	14552
3276553	14516	14567
3288252	14522	14573
3294983	14529	14574
3330560	14540	14575
3336350	14542	14576
3340518	14549	14580
3340979	14623	14605
3341063	14624	14605
3349089	14630	14611
3351946	14630	14621
3352614	14648	14630
3376911	14648	14630
3378806	14652	14647
3380615	14660	14649
3415472	14663	14686
3428050	14676	14700
3439494	14680	14701
3440629	14684	14704
3441881	14701	14707
3459933	14702	14715
3508883	14704	14721
3509157	14719	14727
3524259	14721	14729
3531223	14723	14734
3532050	14727	14734
3536785	14736	14739
3548238	14754	14740
3564887	14759	14750
3566292	14767	14753
3575887	14782	14765
3586720	14783	14765
3590877	14808	14793
3601638	14819	14794
3622195	14824	14808
3630932	14825	14819
3632042	14862	14822
3634017	14869	14823
3635284	14885	14855
3637679	14908	14855
3690480	14930	14859
3694195	14946	14870
3694716	14954	14878
3702390	14965	14891
3719336	14982	14891
3721669	14986	14891
3744281	15003	14894
3749940	15017	14907
3763165	15025	14930
3767933	15026	14936
3773303	15030	14943
3775490	15037	14950
3780007	15041	14955
3819676	15044	14979
3844900	15055	14979
3851319	15059	14980
3862621	15066	14986
3870729	15067	14990
3890386	15067	14996
3895711	15075	14998
3904070	15078	14999
3908763	15087	15011
3939976	15095	15031
3948721	15113	15056
3952293	15115	15069
3953624	15128	15082
3963990	15137	15082
3973764	15141	15089
3983173	15148	15098
4001290	15161	15106
4034242	15184	15117
4044110	15202	15119
4046711	15208	15143
4082956	15210	15157
4084229	15264	15168
4116727	15264	15169
4117959	15288	15174
4126669	15293	15189
4147088	15294	15198
4151650	15300	15202
4173752	15319	15204
4180489	15347	15211
4187135	15381	15233
4208927	15387	15264
4261637	15392	15266
4275350	15401	15274
4290642	15408	15281
4294787	15409	15281
4307840	15410	15283
4317477	15415	15297
4344302	15416	15301
4351136	15438	15303
4370778	15454	15319
4373262	15454	15322
4393755	15455	15322
4399725	15486	15322
4405310	15496	15329
4408125	15511	15331
4421770	15522	15335
4425118	15531	15338
4442894	15535	15342
4461161	15543	15389
4488656	15551	15403
4509341	15554	15417
4518542	15569	15433
4531318	15580	15450
4538751	15591	15453
4542341	15600	15468
4560552	15645	15472
4570603	15647	15493
4578491	15664	15505
4579923	15672	15505
4587510	15682	15507
4607146	15690	15511
4648371	15691	15516
4650400	15701	15543
4690216	15704	15544
4700866	15715	15556
4708542	15734	15560
4723269	15745	15567
4740485	15755	15581
4764823	15790	15589
4796729	15792	15610
4800000	15798	15610
4801464	15803	15611
4808605	15807	15625
4850709	15830	15640
4872661	15834	15646
4880282	15845	15650
4905602	15859	15656
4920093	15864	15664
4921553	15866	15677
4961125	15874	15685
4983705	15894	15695
4999007	15902	15703
5001382	15902	15730
5003887	15907	15736
5004776	15930	15738
5010814	15935	15741
5023640	15937	15741
5028664	15938	15751
5054971	15965	15763
5072848	15971	15795
5095233	15977	15797
5147865	15985	15799
5160187	16001	15814
5178245	16017	15834
5186413	16020	15855
5250668	16026	15861
5259731	16037	15866
5262040	16079	15866
5285076	16082	15869
5293551	16100	15904
5335577	16113	15929
5338107	16114	15930
5346020	16169	15955
5372479	16193	15965
5378274	16196	15969
5384341	16204	15971
5474966	16212	15998
5487385	16222	15999
5489325	16234	16017
5554958	16273	16029
5603342	16276	16029
5612203	16278	16037
5634622	16289	16037
5686001	16297	16040
5734189	16312	16041
5735412	16333	16044
5889549	16335	16052
5906204	16337	16056
5946807	16343	16059
5954065	16346	16112
6064269	16350	16113
6074957	16365	16123
6079119	16401	16128
6080270	16408	16140
6183755	16450	16158
6192421	16453	16158
6220324	16456	16185
6222717	16461	16195
6300630	16463	16198
6333953	16490	16206
6340340	16506	16209
6377150	16515	16215
6387547	16561	16226
6399077	16562	16232
6411514	16565	16244
6488537	16566	16247
6548286	16584	16253
6558014	16586	16276
6572815	16588	16304
6573950	16597	16304
6589034	16625	16339
6597507	16638	16355
6632839	16644	16365
6698515	16648	16369
6705213	16648	16375
6740733	16675	16386
6783279	16716	16393
6788953	16717	16393
6795978	16723	16411
6871930	16753	16412
6973814	16765	16412
